name,price,engineSize,year,mileage,fuelType,priceToEngineSizeRatio,link
BMW i3,191500,400,2018,2000,Elektryczny,478750,otomoto.pl/oferta/bmw-i3-i3s-94ah-with-range-extender-wyprzedaz-rocznika-w-aso-ID6BwjQT.html
McLaren,1550000,3799,2019,20,Benzyna,408002,otomoto.pl/oferta/mclaren-600lt-spider-onyx-black-pierwsze-auto-od-reki-ID6BNJS0.html
BMW i8,479900,1500,2017,4630,Hybryda,319933,otomoto.pl/oferta/bmw-i8-bmw-i8-salon-bmw-inchcape-poznan-ID6BM8G3.html
Renault Zoe,116900,400,2018,1000,Elektryczny,292250,otomoto.pl/oferta/renault-zoe-intens-r90-z-e-40-gwarancja-mech-5-lat-gwarancja-na-aku-8-lat-ID6Bi9Z1.html
McLaren,1092000,3800,2018,2,Benzyna,287368,otomoto.pl/oferta/mclaren-570gt-storm-grey-ID6BqFNe.html
Mercedes-Benz Klasa S W140,159900,600,1995,36000,Benzyna,266500,otomoto.pl/oferta/mercedes-benz-klasa-s-ostatni-na-swiecie-nowy-v12lift36-ooo-kmunikat-ID6BKlx9.html
Porsche 911 991,730711,2981,2018,1000,Benzyna,245123,otomoto.pl/oferta/porsche-911-carrera-4-gts-coupe-samochod-demonstracyjny-ID6ACn66.html
Porsche 911 991,860000,3800,2018,2500,Benzyna,226316,otomoto.pl/oferta/porsche-911-porsche-911-turbo-s-salon-pl-2018-r-f-vat-ID6B7xdS.html
Tesla Model X,88900,400,2019,5,Elektryczny,222250,otomoto.pl/oferta/tesla-model-x-100d-ID6BxRhK.html
Mercedes-Benz AMG GT,845000,3982,2018,2500,Benzyna,212205,otomoto.pl/oferta/mercedes-benz-amg-gt-mercedes-amg-gt-r-pakiet-torowy-amg-demonstracyjny-ID6zSShd.html
Porsche Panamera,799000,3996,2017,15,Benzyna,199950,otomoto.pl/oferta/porsche-panamera-turbo-sport-turismo-ID6zoUDI.html
Audi A8 D5,589000,2967,2017,5600,Diesel,198517,otomoto.pl/oferta/audi-a8-3-0-50tdi-286km-demo-stan-idealny-fv23-ID6BruJL.html
Audi R8,1019990,5200,2019,1,Benzyna,196152,otomoto.pl/oferta/audi-r8-r8-coup-v10-performance-quattro-620-km-s-tronic-ID6BPhNi.html
Audi A8 D5,583590,3000,2019,1,Diesel,194530,otomoto.pl/oferta/audi-a8-taniej-o-79-580-pneulaseroled-rocznik-2019-ID6BCTkW.html
Audi A6 C8,376900,2000,2018,10000,Benzyna,188450,otomoto.pl/oferta/audi-a6-avant-sport-50-tdi-quattro-286-km-tiptronic-audi-centrum-gdansk-ID6Btyw9.html
Mercedes-Benz Klasa S W222,492512,2925,2018,5,Diesel,168380,otomoto.pl/oferta/mercedes-benz-klasa-s-400d-4matic-sedan-long-340km-wyprzedaz-rocznika-w-aso-2018-ID6AKZq0.html
BMW M4,499900,2979,2018,1,Benzyna,167808,otomoto.pl/oferta/bmw-m4-cs-grupa-bawaria-motors-najwiekszy-dealer-bmw-w-polsce-ID6zfoee.html
Mercedes-Benz CLS C257,479530,2999,2019,1,Benzyna,159897,otomoto.pl/oferta/mercedes-benz-cls-nowy-mercedes-cls-450-4-matic-oferta-specjalna-zawila-3-krakow-ID6BOFkL.html
Audi Q8,472500,2967,2018,5,Diesel,159252,otomoto.pl/oferta/audi-q8-50-tdi-286km-quattro-tiptronic-hd-matrix-led-pakiet-serwisowy-gratis-ID6Bvr0r.html
Audi Q8,467000,2967,2018,11,Diesel,157398,otomoto.pl/oferta/audi-q8-audi-q8-50-tdi-quattro-led-navi-pneumatyka-2018-ID6BynW4.html
Porsche Macan,311742,1984,2018,5,Benzyna,157128,otomoto.pl/oferta/porsche-macan-2-0-wyprzedaz-rocznika-w-aso-ID6A7Ly7.html
Audi Q8,469990,3000,2018,10,Diesel,156663,otomoto.pl/oferta/audi-q8-taniej-o-125-110-wyprzedaz-rocznika-w-aso-pneuos-tyl-skrwebasdemo-ID6BtUle.html
Audi Q3,226900,1498,2019,5,Benzyna,151469,otomoto.pl/oferta/audi-q3-sline-35-tfsi-150km-stronic-kamera-led-b-o-tempomat-audi-centrum-lodz-ID6BP4e1.html
Audi Q8,452990,3000,2019,10,Diesel,150997,otomoto.pl/oferta/audi-q8-taniej-o-101-540-wyprzedaz-rocznika-w-aso-pneumskorhak-demo-ID6BHbsM.html
Audi A6 C8,444900,2967,2018,5000,Diesel,149949,otomoto.pl/oferta/audi-a6-sport-50-tdi-286-km-quattro-tiptronic-demo-wyprzedaz-rocznika-w-aso-ID6AzMqu.html
BMW X4 G02,299691,2000,2019,5,Diesel,149846,otomoto.pl/oferta/bmw-x4-xdrive-20d-m-sport-190-km-ID6BISoq.html
Audi Q8,449000,3000,2018,1,Diesel,149667,otomoto.pl/oferta/audi-q8-50tdi-quattro-286-km-tiptronic-20-rabat-ID6ByspC.html
BMW 6GT,298900,1998,2018,2,Diesel,149600,otomoto.pl/oferta/bmw-6gt-620d-xdrive-gran-turismo-wyprzedaz-rocznika-w-aso-ID6Bulfn.html
